id,campaigncoop,checksum,dropin,game,lancoop,offlinecoop,offlinecoopmax,offlinemax,onlinecoop,onlinecoopmax,onlinemax,platform,splitscreen,splitscreenonline
22,False,4e1d0c7d-c611-c433-3e77-1707eef1912b,True,48336,False,False,,,False,,12,39,False,
28,False,daaf45e8-3329-0c8b-717d-7fb03510249d,False,14431,False,False,,,False,,,13,True,
8215,False,8938f08e-de46-1793-af0b-f6a69f342f5e,False,33984,False,False,0,4,False,0,0,49,False,
2226,False,dd1d2654-7e7e-3fde-e0cb-95728e623d3f,False,57916,False,False,,,False,,,34,False,
10255,False,73032a66-72c3-c9ae-e725-7ccb879d9891,False,131814,False,False,,,False,,,6,False,
667,False,0c5086c7-bd98-f073-98de-fbfa50d4de4e,False,7461,True,True,2,0,True,4,0,9,True,
4782,False,21828a81-f761-f70d-498f-46a5df559475,False,1970,False,False,0,0,True,4,0,6,False,
523,True,cb5e50c8-5176-a98c-0a15-b8b49d5c7624,False,14674,True,False,0,0,False,0,0,38,False,
525,True,7efbdf01-daf7-c7ab-d812-d2e9432e9782,True,450,True,False,0,0,True,4,0,12,False,
642,True,47785103-1617-35bc-8c44-08d9092c2845,False,18373,True,False,0,0,True,4,0,38,False,
536,True,4d46b63c-a009-c98f-9e3e-7d24df577c54,False,1302,True,False,0,0,False,0,0,38,False,
539,True,dd2654e9-21b5-f67c-6974-6b62955c7619,False,1843,True,False,0,0,True,8,0,6,False,
671,False,fcf0051f-3a2d-6a5c-7b65-fdc8228383a1,False,2151,False,True,2,0,False,0,0,12,False,
674,True,3b24059d-1a68-3c24-8aec-7bd994d745ce,True,14921,False,True,2,0,False,0,0,12,False,
675,True,9b59295a-791a-4d55-2294-07391f96a780,True,51643,False,True,2,0,True,2,0,6,False,
9467,False,8e784c44-2b4c-aed7-1bb8-745a7ee1d609,False,110687,False,False,,,False,,,130,False,
538,True,26963112-e257-b34f-1d51-720546dd0ada,False,1842,True,False,0,0,True,8,0,6,False,
10977,False,f2e6104e-92a9-f85e-dc14-6b7d55c65f44,False,1601,False,False,,2,False,,,8,True,
10159,False,3d720d40-f6b0-a27c-9eae-c351ae980308,False,2165,False,False,0,0,True,4,0,48,False,
684,True,3f0ab10f-6d87-08b4-db96-02a79c86366a,True,6806,True,False,0,0,True,4,0,37,False,
1910,True,7e7fe837-65fc-d5d2-2b12-3aa4be5a369b,False,2678,False,True,4,0,True,4,0,12,False,
10553,False,3acf7454-ea09-2925-cb8e-b128be506964,False,48208,False,False,,2,False,,,18,False,
9958,False,620243e1-7db2-a9ad-1dd8-d11bb3875d86,False,121230,False,False,,4,False,,8,48,True,
7359,False,f4f7c637-9470-5a41-7e74-cfb443dba322,False,45276,False,False,,,False,,,,False,
554,True,1f457403-8e02-d4d4-e6ef-d7693c8aa441,True,15071,True,False,0,0,True,35,0,6,False,
7352,False,04be790f-c05c-30f3-131c-41a4f6662305,False,45137,False,False,,,False,,,,False,
7358,False,70dbbe82-40b4-e80d-8a9f-ab5c4cd7ad9c,False,3172,False,False,,,False,,,,False,
558,True,e4ab8a1f-28f0-8ab0-8e65-fb9a985727d0,False,7135,False,True,3,0,False,0,0,9,True,
9361,False,2a6c76d8-67c8-58d3-8b0b-89809e1984fa,False,104819,False,True,4,4,False,,2,6,False,
7372,False,5b98ad44-7da6-d851-b7e2-6c1d91a88fe5,False,67177,False,False,,,False,,,,False,
676,False,b7c1cd96-6f37-3e92-9073-419d08afb426,False,16173,False,True,2,0,True,3,0,12,False,
677,False,9af1e2ea-20a4-6b16-3236-4e0e2bce52c0,False,1374,True,True,2,0,True,2,0,12,True,
9373,False,7f5891d1-ed5d-da75-1c05-4b0dce12acfb,False,116645,False,True,4,4,False,0,2,49,False,
565,True,c2674451-b4b0-b085-c7f1-b6a13d9853be,True,5002,False,True,2,0,False,0,0,9,False,
573,False,9d40113f-4e91-7aac-de79-ab6daeeaccc6,False,9963,False,True,2,0,True,2,0,12,False,
10584,False,8528bea1-3262-2cd4-6f59-ff57467ee425,False,4271,False,False,,2,False,,,32,False,
9586,False,f37f9bcd-e79b-9be3-8de6-c53ce1186d00,False,26166,False,False,,,False,4,,49,False,
588,True,a05f4f9d-0f21-37a7-705f-f22871e780f3,False,21077,False,True,2,0,True,4,0,12,True,
1847,True,b929ee89-e47a-ec0e-e4e9-7ecc818862fb,False,20568,True,False,0,0,False,0,0,6,False,
1904,False,a190f1f4-b667-a027-3d6e-b0074561b6d4,False,7111,False,True,2,0,False,0,0,12,False,
597,True,c240c3cf-5bab-d540-eed3-8ff2ab2e8c59,True,21082,False,True,2,0,False,0,0,9,False,
628,False,7cee919e-6ca8-cf12-89f7-b6ec825088e7,False,10177,True,False,0,0,True,4,0,6,False,
630,True,1911334f-830c-eb36-b0d2-fa6a20ab139b,False,9485,False,True,2,0,True,2,0,12,True,
9656,False,2e1fae24-70e7-8742-3081-2b06225de4f8,False,842,False,False,,,False,,6,,False,
650,False,7a8ffc1e-f302-4502-9407-2db5c7355df5,False,528,True,False,0,0,True,4,0,12,False,
651,True,d5b16112-7311-0ce5-0a0a-839df4aa2269,False,7412,False,True,2,0,False,0,0,11,False,
699,True,c534ddd8-e41c-7e84-e5b6-a7dcf4d2b610,False,3002,False,True,4,0,True,4,0,9,False,
654,True,3f5971e7-8baf-d0d8-08f3-6010fe57ce87,False,3695,True,False,0,0,True,2,0,6,False,
5061,False,e412951a-a3bf-caa8-3c95-61a71cdec3f3,False,20402,False,True,4,0,False,0,0,6,False,
2197,False,577fad88-d999-10b3-986e-f26d0594a2c6,False,33632,True,True,2,2,True,6,6,6,True,
662,True,83e782bc-3fb9-8c05-e3b8-6b2174d05fb9,True,51635,False,True,2,0,True,2,0,12,False,
663,False,c2a35dcc-bb72-b0ad-61bb-1594f16ef17d,False,10170,False,True,4,0,False,0,0,9,True,
7682,False,ea96e0ec-5348-a1c0-eddd-8e9c2927051f,False,76735,False,False,,,False,,,,False,
8683,False,49add1f1-75d0-5a80-a772-83e22c8ec12f,False,99243,False,True,2,,False,,,39,False,
686,True,fcfdbd37-efeb-17a3-d4f7-21cd1a67315e,False,7045,False,True,2,0,False,0,0,9,False,
688,False,c815b772-9fb0-113e-0c81-321800ce4639,False,9351,False,True,4,0,False,0,0,8,True,
696,True,5ec7f1dc-e153-4ebf-0df5-a3031f6fbcfc,True,21147,False,True,4,0,True,4,0,12,False,
707,False,5d22f75c-aaec-2256-1fb2-5eb1ed32a2e9,False,18230,False,True,2,0,True,2,0,9,True,
710,False,4e75077d-72d9-21a0-d19a-9eecd58679aa,False,15140,False,True,4,0,True,4,0,12,False,
713,True,1b6ee049-be71-4bde-cdc8-1ac4eda2fcc7,True,4747,False,True,4,0,False,0,0,12,True,
4783,True,236eabd0-2dd8-b153-c906-8458266a574f,True,16689,False,False,0,0,True,4,0,6,False,
661,False,e4556d2d-7a14-ac0f-808d-eab2759f6ba5,False,5485,False,False,0,0,True,4,0,12,False,
1907,True,6aa40268-6b2d-b57d-c38f-bfd6c0dd83a9,True,1190,False,True,2,0,False,0,0,12,False,
669,True,353003c5-565c-aa37-4730-c94cee390e82,True,981,False,True,4,0,False,0,0,12,False,
673,True,240037d0-cade-1a9f-ff71-82e374c55507,False,2139,False,True,2,0,True,4,0,12,True,
10918,False,2dc3dd71-a1be-439c-f955-b9ca6436d2c6,False,47315,True,True,2,12,True,2,12,11,True,
9963,False,bbc0f60e-52b0-e395-d445-88f1bffba268,False,126442,False,True,2,,False,,,8,False,
11353,False,58d44b53-fc0a-7aa8-9106-3cd2cbe309ad,False,136227,False,False,,2,False,,,6,True,
11464,False,40bc8e05-b222-4704-150d-370e9a41ae2e,False,65112,False,False,,4,False,,2,4,False,
11601,False,73edb52b-18d2-7ae3-ea25-9e06d4fd82fc,False,55057,True,False,8,8,True,8,8,6,False,
11715,False,ff4b5f33-c4bb-30d3-efe7-56e3997fe045,False,138906,False,False,,,False,,,169,False,
10557,False,bbe08a25-e5cf-e59f-db2f-39882d9a35e6,False,134060,False,False,,1,False,,,39,False,
10217,False,b3c09274-afc1-a9ba-1d7f-01efce0e5c84,False,131720,False,False,2,2,True,8,100,3,True,
9226,False,bcdc357c-554f-db2c-6866-c12938347d70,False,112573,False,False,,4,False,,,52,True,
2285,True,627758b4-0374-869a-336e-56ed19eff370,False,35286,False,True,5,,False,,,6,True,
834,False,6f812603-d8b7-f87b-12b4-562d5895864f,False,1373,False,False,0,0,True,2,0,12,False,
629,True,42c1f7f1-4dc2-4156-442d-d21c131cfd26,False,1854,False,False,0,0,True,3,0,39,False,
631,True,280524c8-62b2-371b-8584-6613d32382c4,False,7668,False,False,0,0,True,4,0,12,False,
9004,False,72c61fe1-64f6-4f3f-246d-2983d89e819f,False,53013,False,False,,2,False,,,,True,
835,True,bc474aae-c001-91c1-1960-63066661414f,False,3078,False,False,0,0,True,2,0,9,False,
643,True,4b5fb42f-51a2-4c0c-0a6a-cb81a6bbdf95,True,4896,False,True,2,0,False,0,0,9,False,
645,True,2ac7e36a-848c-c2b4-74de-ddab12b82326,True,5924,False,False,0,0,True,2,0,6,False,
647,True,8aa8dd78-d4d0-19d9-7829-a0032d812aab,True,4767,False,True,2,0,False,0,0,9,False,
9683,False,792090f4-13b3-64b3-c16b-ad879e21411b,False,31719,False,False,0,2,False,0,0,8,True,
689,True,1a12f229-4073-207e-61b2-b2eb956efeae,True,142,True,True,2,0,True,16,0,8,True,
841,True,b207f940-a5c2-73d9-6c3f-4e4d40874c71,True,19914,False,True,4,0,True,4,0,12,False,
701,False,f2afcbe9-3a3e-6473-880c-2b628d0e5bf0,False,6913,False,False,0,0,True,4,0,12,False,
703,False,1adf1f19-b4d2-9014-f659-e84dc682d0cf,False,3215,False,False,0,0,True,2,0,9,False,
10958,False,5e0d0971-e950-1856-1048-2fb335f5e03e,False,4209,False,False,,4,False,,,11,True,
730,True,25ae5832-5df1-eed7-ac4a-37f84efd5357,True,1011,True,True,2,0,True,4,0,12,True,
784,True,e071c6ea-4e61-105e-a0cc-c53fb8b7db5e,False,23396,False,True,4,0,False,0,0,9,False,
798,True,baccc718-b0d5-2341-3c28-8b7b4cab3361,False,3077,False,True,2,0,False,0,0,11,True,
843,True,6075b6db-a5f9-72e6-d2f0-e35a7a4aef27,True,5968,False,False,0,0,True,2,0,9,False,
2027,False,b8d6860e-4e3a-d779-9b6d-33496d75ebd8,False,37278,False,True,2,0,False,0,0,12,False,
691,False,5848422e-df57-5568-b00d-6ff08cc0ee5f,True,23063,True,False,0,0,True,8,0,38,False,
801,True,95db1c99-9460-7496-be8f-94cef8333ca5,False,23944,False,True,4,0,True,4,0,6,False,
807,True,563d6134-4fcd-b212-7040-a2975c5a524b,False,1082,True,True,2,0,True,2,0,12,True,
808,True,01dc85ff-16ac-0033-0790-760487cb8cfe,False,5324,False,True,2,0,True,2,0,12,True,
809,True,9e3912d0-15fb-2819-4dc2-91a1468513da,False,38462,True,False,0,0,False,0,0,38,False,
812,True,8c44590d-eded-61ad-2ad6-c6ce367c91ae,True,9924,True,False,0,0,True,10,0,6,False,
9005,False,ff3dab68-8b81-4bf4-9b02-ff8ad9c1a641,False,6273,False,False,,32,False,,32,6,False,
815,True,a1a87ac5-ee3a-f6eb-d07e-8898731e5b80,True,51660,False,True,2,0,False,0,0,6,False,
816,True,4d6a36d2-ee5a-2c76-c679-e69c95840e97,True,1586,True,False,0,0,False,0,0,37,False,
819,True,6360d5f3-8cc9-ac9b-a312-d1b4b54aaecb,False,9384,False,True,2,0,False,0,0,12,False,
820,True,a7ff6eb0-55a4-4d35-3820-8f732c5e653f,True,8753,True,False,0,0,True,4,0,6,False,
10786,False,ff78ffc5-c5e1-c571-eb27-5b68ecaeb9af,False,133126,False,True,2,,False,,,6,False,
